cs-CZ;ESDCCAD2018ML;204960;CorelCAD 2018;23 029;;;;;;1
cs-CZ;ESDCCAD2018MLUG;204961;CorelCAD 2018;6 589;;;;;;
da-DK;ESDCCAD2018ML;204960;CorelCAD 2018;6,240;;;;;;
da-DK;ESDCCAD2018MLUG;204961;CorelCAD 2018;1,769;;;;;;
de-DE;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;;;;;;
de-DE;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;;;;;;
de-LI;ESDCCAD2018ML;204960;CorelCAD 2018;930;;;;;;
de-LI;ESDCCAD2018MLUG;204961;CorelCAD 2018;265;;;;;;
en-AU;ESDCCAD2018ML;204960;CorelCAD 2018;999;;;;;;
en-AU;ESDCCAD2018MLUG;204961;CorelCAD 2018;285;;;;;;
en-CA;CCAD2018MLPCM;5134892000;CorelCAD 2018;899;;;;;;
en-CA;ESDCCAD2018ML;204960;CorelCAD 2018;899;;;;;;
en-CA;ESDCCAD2018MLUG;204961;CorelCAD 2018;259;;;;;;
en-GB;ESDCCAD2018ML;204960;CorelCAD 2018;799.99;;;;;;
en-GB;ESDCCAD2018MLUG;204961;CorelCAD 2018;232.99;;;;;;
en-IE;ESDCCAD2018ML;204960;CorelCAD 2018;829.99;;;;;;
en-IE;ESDCCAD2018MLUG;204961;CorelCAD 2018;239.99;;;;;;
en-MY;ESDCCAD2018ML;204960;CorelCAD 2018;2,390;;;;;;
en-MY;ESDCCAD2018MLUG;204961;CorelCAD 2018;679;;;;;;
en-NZ;ESDCCAD2018ML;204960;CorelCAD 2018;869;;;;;;
en-NZ;ESDCCAD2018MLUG;204961;CorelCAD 2018;249;;;;;;
en-RW;ESDCCAD2018ML;204960;CorelCAD 2018;699;;;;;;
en-RW;ESDCCAD2018MLUG;204961;CorelCAD 2018;199;;;;;;
en-SG;ESDCCAD2018ML;204960;CorelCAD 2018;999;;;;;;
en-SG;ESDCCAD2018MLUG;204961;CorelCAD 2018;285;;;;;;
en-US;CCAD2018MLPCM;5134892000;CorelCAD 2018;699;;;;;;
en-US;ESDCCAD2018ML;204960;CorelCAD 2018;699;;;;;;
en-US;ESDCCAD2018MLUG;204961;CorelCAD 2018;199;;;;;;
en-ZA;ESDCCAD2018ML;204960;CorelCAD 2018;7 999;;;;;;
en-ZA;ESDCCAD2018MLUG;204961;CorelCAD 2018;2 290;;;;;;
es-AR;ESDCCAD2018ML;204960;CorelCAD 2018;19.229;;;;;;
es-AR;ESDCCAD2018MLUG;204961;CorelCAD 2018;5.469;;;;;;
es-CL;ESDCCAD2018ML;204960;CorelCAD 2018;396.933;;;;;;
es-CL;ESDCCAD2018MLUG;204961;CorelCAD 2018;113.003;;;;;;
es-CO;ESDCCAD2018ML;204960;CorelCAD 2018;1.449.789;;;;;;
es-CO;ESDCCAD2018MLUG;204961;CorelCAD 2018;411.739;;;;;;
es-ES;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;;;;;;
es-ES;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;;;;;;
es-MX;ESDCCAD2018ML;204960;CorelCAD 2018;9,739;;;;;;
es-MX;ESDCCAD2018MLUG;204961;CorelCAD 2018;2,766;;;;;;
es-PE;ESDCCAD2018ML;204960;CorelCAD 2018;1,990;;;;;;
es-PE;ESDCCAD2018MLUG;204961;CorelCAD 2018;566;;;;;;
fr-FR;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;;;;;;
fr-FR;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;;;;;;
it-IT;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;;;;;;
it-IT;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;;;;;;
ja-JP;ESDCCAD2018ML;204960;CorelCAD 2018;74,520;;;;;;
ja-JP;ESDCCAD2018MLUG;204961;CorelCAD 2018;36,720;;;;;;
nb-NO;ESDCCAD2018ML;204960;CorelCAD 2018;6,769;;;;;;
nb-NO;ESDCCAD2018MLUG;204961;CorelCAD 2018;1,929;;;;;;
nl-NL;ESDCCAD2018ML;204960;CorelCAD 2018;829,99;;;;;;
nl-NL;ESDCCAD2018MLUG;204961;CorelCAD 2018;239,99;;;;;;
pl-PL;ESDCCAD2018ML;204960;CorelCAD 2018;3 499;;;;;;
pl-PL;ESDCCAD2018MLUG;204961;CorelCAD 2018;999;;;;;;
pt-BR;ESDCCAD2018ML;5134891800;CorelCAD 2018;2.229;;;;;;
pt-BR;ESDCCAD2018MLUG;5134891900;CorelCAD 2018;629;;;;;;
se-SE;ESDCCAD2018ML;204960;CorelCAD 2018;7,955;;;;;;
se-SE;ESDCCAD2018MLUG;204961;CorelCAD 2018;2,259;;;;;;
zh-HK;ESDCCAD2018ML;204960;CorelCAD 2018;6,190;;;;;;
zh-HK;ESDCCAD2018MLUG;204961;CorelCAD 2018;1,759;;;;;;
zh-TW;ESDCCAD2018ML;204960;CorelCAD 2018;21,000;;;;;;
zh-TW;ESDCCAD2018MLUG;204961;CorelCAD 2018;5,964;;;;;;
