de-DE;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;787,99;;5 %;-5%;($42)
de-DE;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;227,99;;5 %;-5%;($12)
en-AU;ESDCCAD2018ML;180250;CorelCAD 2017;799;759;;5%;-5%;($40)
en-AU;ESDCCAD2018MLUG;180251;CorelCAD 2017;219;208;;5%;-5%;($11)
en-CA;ESDCCAD2018ML;180250;CorelCAD 2017;899;854;;CA$ 45;-5%;($45)
en-CA;ESDCCAD2018MLUG;180251;CorelCAD 2017;259;245;;CA$ 14;-5%;($14)
en-GB;ESDCCAD2018ML;180250;CorelCAD 2017;799.99;759.99;;5%;-5%;($40)
en-GB;ESDCCAD2018MLUG;180251;CorelCAD 2017;232.99;219.99;;5%;-6%;($13)
en-IE;ESDCCAD2018ML;180250;CorelCAD 2017;829.99;787.99;;5%;-5%;($42)
en-IE;ESDCCAD2018MLUG;180251;CorelCAD 2017;239.99;227.99;;5%;-5%;($12)
en-RW;ESDCCAD2018ML;180250;CorelCAD 2017;699;664;;5%;-5%;($35)
en-RW;ESDCCAD2018MLUG;180251;CorelCAD 2017;199;189;;5%;-5%;($10)
en-US;ESDCCAD2018ML;180250;CorelCAD 2017;699;664;;$35;-5%;($35)
en-US;ESDCCAD2018MLUG;180251;CorelCAD 2017;199;189;;$10;-5%;($10)
es-MX;ESDCCAD2018ML;180250;CorelCAD 2017;9,739;;;;;
es-MX;ESDCCAD2018MLUG;180251;CorelCAD 2017;2,766;;;;;
fr-FR;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;787,99;;5 %;-5%;($42)
fr-FR;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;227,99;;5 %;-5%;($12)
it-IT;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;787,99;;5%;-5%;($42)
it-IT;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;227,99;;5%;-5%;($12)
ja-JP;ESDCCAD2018ML;180250;CorelCAD 2017;74,520;70,794;;5%;-5%;($3,726)
ja-JP;ESDCCAD2018MLUG;180251;CorelCAD 2017;36,720;34,884;;5%;-5%;($1,836)
nl-NL;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;787,99;;5%;-5%;($42)
nl-NL;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;227,99;;5%;-5%;($12)
pt-BR;ESDCCAD2018ML;5071247800;CorelCAD 2017;2.229;;;;;
pt-BR;ESDCCAD2018MLUG;5071247900;CorelCAD 2017;629;;;;;
