de-DE;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;746,99;;10 %;-10%;($83);704.99;;15%;-15%;($125)
de-DE;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;214,99;;10 %;-10%;($25);203.99;;15%;-15%;($36)
en-AU;ESDCCAD2018ML;180250;CorelCAD 2017;799;719;;10%;-10%;($80);679;;15%;-15%;($120)
en-AU;ESDCCAD2018MLUG;180251;CorelCAD 2017;219;197;;10%;-10%;($22);186;;15%;-15%;($33)
en-CA;ESDCCAD2018ML;180250;CorelCAD 2017;899;809;;10%;-10%;($90);764;;CA$135;-15%;($135)
en-CA;ESDCCAD2018MLUG;180251;CorelCAD 2017;259;233;;10%;-10%;($26);219;;CA$40;-15%;($40)
en-GB;ESDCCAD2018ML;180250;CorelCAD 2017;799.99;719.99;;10%;-10%;($80);679.99;;15%;-15%;($120)
en-GB;ESDCCAD2018MLUG;180251;CorelCAD 2017;232.99;208.99;;10%;-10%;($24);197.99;;15%;-15%;($35)
en-IE;ESDCCAD2018ML;180250;CorelCAD 2017;829.99;746.99;;10%;-10%;($83);704.99;;15%;-15%;($125)
en-IE;ESDCCAD2018MLUG;180251;CorelCAD 2017;239.99;214.99;;10%;-10%;($25);203.99;;15%;-15%;($36)
en-US;ESDCCAD2018ML;180250;CorelCAD 2017;699;629;;10%;-10%;($70);594;;$105 ;-15%;($105)
en-US;ESDCCAD2018MLUG;180251;CorelCAD 2017;199;179;;10%;-10%;($20);169;;$30 ;-15%;($30)
fr-FR;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;746,99;;10 %;-10%;($83);704.99;;15%;-15%;($125)
fr-FR;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;214,99;;10 %;-10%;($25);203.99;;15%;-15%;($36)
it-IT;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;746,99;;10%;-10%;($83);704.99;;15%;-15%;($125)
it-IT;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;214,99;;10%;-10%;($25);203.99;;15%;-15%;($36)
ja-JP;ESDCCAD2018ML;180250;CorelCAD 2017;74,520;67,068;;10%;-10%;($7,452);63342;;15%;-15%;($11,178)
ja-JP;ESDCCAD2018MLUG;180251;CorelCAD 2017;36,720;33,048;;10%;-10%;($3,672);31212;;15%;-15%;($5,508)
nl-NL;ESDCCAD2018ML;180250;CorelCAD 2017;829,99;746,99;;10%;-10%;($83);704.99;;15%;-15%;($125)
nl-NL;ESDCCAD2018MLUG;180251;CorelCAD 2017;239,99;214,99;;10%;-10%;($25);203.99;;15%;-15%;($36)
pt-BR;ESDCCAD2018ML;5071247800;CorelCAD 2017;2.229;;;;;;;;;;
pt-BR;ESDCCAD2018MLUG;5071247900;CorelCAD 2017;629;;;;;;;;;;
