cs-CZ;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ROW;19 000;;;;;;
cs-CZ;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ROWUG;9 500;;;;;;
da-DK;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;5,300;;;;;;
da-DK;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;2,700;;;;;;
de-DE;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
de-DE;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
de-LI;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;800;;;;;;
de-LI;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;400;;;;;;
en-AU;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;779;;;;;;
en-AU;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;309;;;;;;
en-CA;ESDCDGS2018AM;OL_DR20;;599;;;;;;
en-CA;ESDCDGS2018AMUG;OL_DR20;;249;;;;;;
en-GB;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;599.99;;;;;;
en-GB;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;299.99;;;;;;
en-IE;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
en-IE;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
en-MY;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;1,936;;;;;;
en-MY;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;810;;;;;;
en-NZ;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;849;;;;;;
en-NZ;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;349;;;;;;
en-RW;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;669;;;;;;
en-RW;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;329;;;;;;
en-SG;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;800;;;;;;
en-SG;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;335;;;;;;
en-US;ESDCDGS2018AM;OL_DR20;;499;;;;;;
en-US;ESDCDGS2018AMUG;OL_DR20;;199;;;;;;
en-ZA;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;7 900;;;;;;
en-ZA;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;3 000;;;;;;
es-AR;ESDCDGS2018AM;OL_DR20;;16.599;;;;;;
es-AR;ESDCDGS2018AMUG;OL_DR20;;7.499;;;;;;
es-CL;ESDCDGS2018AM;OL_DR20;;352.500;;;;;;
es-CL;ESDCDGS2018AMUG;OL_DR20;;140.600;;;;;;
es-CO;ESDCDGS2018AM;OL_DR20;;1.808.965;;;;;;
es-CO;ESDCDGS2018AMUG;OL_DR20;;774.000;;;;;;
es-ES;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
es-ES;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
es-MX;ESDCDGS2018AM;OL_DR20;;11,595;;;;;;
es-MX;ESDCDGS2018AMUG;OL_DR20;;4,959;;;;;;
es-PE;ESDCDGS2018AM;OL_DR20;;2,029;;;;;;
es-PE;ESDCDGS2018AMUG;OL_DR20;;869;;;;;;
fr-FR;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
fr-FR;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
it-IT;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
it-IT;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
ja-JP;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;59,184;;;;;;
ja-JP;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;26,784;;;;;;
ko-KR;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;863,000;;;;;;
ko-KR;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;550,000;;;;;;
nb-NO;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;6,800;;;;;;
nb-NO;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;3,400;;;;;;
nl-NL;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;699;;;;;;
nl-NL;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;349;;;;;;
pl-PL;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ROW;2 699;;;;;;
pl-PL;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ROWUG;1 499;;;;;;
pt-BR;ESDCDGS2018AM;OL_DR20;;2.399;;;;;;
pt-BR;ESDCDGS2018AMUG;OL_DR20;;899;;;;;;
se-SE;ESDCDGS2018AM;OL_DR20;ESDCDGS2017EU;6,700;;;;;;
se-SE;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017EUUG;3,350;;;;;;
zh-HK;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;4,899;;;;;;
zh-HK;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;2,049;;;;;;
zh-TW;ESDCDGS2018AM;OL_DR20;ESDCDGS2017ANS;19,350;;;;;;
zh-TW;ESDCDGS2018AMUG;OL_DR20;ESDCDGS2017ANSUG;10,395;;;;;;
