en-CA;ESDCDGS2018AM;190166;OL_DR19;649;549;;CA$ 100;-15%;-$100
en-CA;ESDCDGS2018AMUG;190167;OL_DR19;249;209;;CA$ 40;-16%;-$40
de-DE;ESDCDGS2018AM;190168;OL_DR19;699;629;;10 %;-10%;-$70
de-DE;ESDCDGS2018AMUG;190169;OL_DR19;349;314;;10 %;-10%;-$35
en-AU;ESDCDGS2018AM;190172;OL_DR19;749;674;;10%;-10%;-$75
en-AU;ESDCDGS2018AMUG;190173;OL_DR19;299;269;;10%;-10%;-$30
en-GB;ESDCDGS2018AM;190168;OL_DR19;599.99;539.99;;10%;-10%;-$60
en-GB;ESDCDGS2018AMUG;190169;OL_DR19;299.99;269.99;;10%;-10%;-$30
en-US;ESDCDGS2018AM;190166;OL_DR19;499;419;;$80;-16%;-$80
en-US;ESDCDGS2018AMUG;190167;OL_DR19;199;169;;$30;-15%;-$30
fr-FR;ESDCDGS2018AM;190168;OL_DR19;699;629;;10 %;-10%;-$70
fr-FR;ESDCDGS2018AMUG;190169;OL_DR19;349;314;;10 %;-10%;-$35
ja-JP;ESDCDGS2018AM;190172;OL_DR19;59,184;53,266;;10%;-15%;-$8,878
ja-JP;ESDCDGS2018AMUG;190173;OL_DR19;26,784;24,106;;10%;-15%;-$4,018
pt-BR;ESDCDGS2018AM;5092796700;OL_DR19;2.399;2.159;;10%;-10%;-$240
pt-BR;ESDCDGS2018AMUG;5092796800;OL_DR19;899;809;;10%;-10%;-$90
