en-CA;CDGS2018EFDP;5169625800;OL_DR20;599;509;;CA$ 90;-15%;($90)
en-CA;CDGS2018EFDPUG;5169625900;OL_DR20;249;214;;CA$ 35;-14%;($35)
en-CA;ESDCDGS2018AM;206390;OL_DR20;599;509;;CA$ 90;-15%;($90)
en-CA;ESDCDGS2018AMUG;206391;OL_DR20;249;214;;CA$ 35;-14%;($35)
cs-CZ;ESDCDGS2018AM;206413;OL_DR20;19 000;16 150;;15%;-15%;($2,850)
cs-CZ;ESDCDGS2018AMUG;206414;OL_DR20;9 500;8 075;;15%;-15%;($1,425)
da-DK;CDGS2018EFDP;5169625800;OL_DR20;5,300;4,505;;15%;-15%;($795)
da-DK;CDGS2018EFDPUG;5169625900;OL_DR20;2,700;2,295;;15%;-15%;($405)
da-DK;ESDCDGS2018AM;206392;OL_DR20;5,300;4,505;;15%;-15%;($795)
da-DK;ESDCDGS2018AMUG;206412;OL_DR20;2,700;2,295;;15%;-15%;($405)
de-DE;ESDCDGS2018AM;206392;OL_DR20;699;594;;15 %;-15%;($105)
de-DE;ESDCDGS2018AMUG;206412;OL_DR20;349;297;;15 %;-15%;($52)
de-LI;CDGS2018EFDP;5169625800;OL_DR20;800;680;;15%;-15%;($120)
de-LI;CDGS2018EFDPUG;5169625900;OL_DR20;400;340;;15%;-15%;($60)
de-LI;ESDCDGS2018AM;206392;OL_DR20;800;680;;15%;-15%;($120)
de-LI;ESDCDGS2018AMUG;206412;OL_DR20;400;340;;15%;-15%;($60)
en-AU;ESDCDGS2018AM;206415;OL_DR20;779;662;;15%;-15%;($117)
en-AU;ESDCDGS2018AMUG;206416;OL_DR20;309;263;;15%;-15%;($46)
en-GB;CDGS2018EFDP;5169625800;OL_DR20;599.99;509.99;;15%;-15%;($90)
en-GB;CDGS2018EFDPUG;5169625900;OL_DR20;299.99;254.99;;15%;-15%;($45)
en-GB;ESDCDGS2018AM;206392;OL_DR20;599.99;509.99;;15%;-15%;($90)
en-GB;ESDCDGS2018AMUG;206412;OL_DR20;299.99;254.99;;15%;-15%;($45)
en-IE;CDGS2018EFDP;5169625800;OL_DR20;699;594;;15%;-15%;($105)
en-IE;CDGS2018EFDPUG;5169625900;OL_DR20;349;297;;15%;-15%;($52)
en-IE;ESDCDGS2018AM;206392;OL_DR20;699;594;;15%;-15%;($105)
en-IE;ESDCDGS2018AMUG;206412;OL_DR20;349;297;;15%;-15%;($52)
en-NZ;ESDCDGS2018AM;206415;OL_DR20;849;722;;15%;-15%;($127)
en-NZ;ESDCDGS2018AMUG;206416;OL_DR20;349;297;;15%;-15%;($52)
en-RW;ESDCDGS2018AM;206392;OL_DR20;669;569;;15%;-15%;($100)
en-RW;ESDCDGS2018AMUG;206412;OL_DR20;329;280;;15%;-15%;($49)
en-US;CDGS2018EFDP;5169625800;OL_DR20;499;424;;$75;-15%;($75)
en-US;CDGS2018EFDPUG;5169625900;OL_DR20;199;169;;$30;-15%;($30)
en-US;ESDCDGS2018AM;206390;OL_DR20;499;424;;$75;-15%;($75)
en-US;ESDCDGS2018AMUG;206391;OL_DR20;199;169;;$30;-15%;($30)
en-ZA;ESDCDGS2018AM;206392;OL_DR20;7 900;6 715;;15%;-15%;($1,185)
en-ZA;ESDCDGS2018AMUG;206412;OL_DR20;3 000;2 550;;15%;-15%;($450)
es-AR;ESDCDGS2018AM;206390;OL_DR20;16.599;14.109;;15%;-15%;($1,484)
es-AR;ESDCDGS2018AMUG;206391;OL_DR20;7.499;6.374;;15%;-15%;($600)
es-CL;ESDCDGS2018AM;206390;OL_DR20;352.500;299.625;;15%;-15%;($52,875)
es-CL;ESDCDGS2018AMUG;206391;OL_DR20;140.600;119.510;;15%;-15%;($21,090)
es-CO;ESDCDGS2018AM;206390;OL_DR20;1.808.965;1.537.620;;15%;-15%;($271,345)
es-CO;ESDCDGS2018AMUG;206391;OL_DR20;774.000;657.900;;15%;-15%;($116,100)
es-ES;ESDCDGS2018AM;206392;OL_DR20;699;594;;15%;-15%;($105)
es-ES;ESDCDGS2018AMUG;206412;OL_DR20;349;297;;15%;-15%;($52)
es-MX;ESDCDGS2018AM;206390;OL_DR20;11,595;9,856;;15%;-15%;($1,739)
es-MX;ESDCDGS2018AMUG;206391;OL_DR20;4,959;4,215;;15%;-15%;($744)
es-PE;ESDCDGS2018AM;206390;OL_DR20;2,029;1,725;;15%;-15%;($304)
es-PE;ESDCDGS2018AMUG;206391;OL_DR20;869;739;;15%;-15%;($130)
fr-FR;ESDCDGS2018AM;206392;OL_DR20;699;594;;15 %;-15%;($105)
fr-FR;ESDCDGS2018AMUG;206412;OL_DR20;349;297;;15 %;-15%;($52)
it-IT;ESDCDGS2018AM;206392;OL_DR20;699;594;;15%;-15%;($105)
it-IT;ESDCDGS2018AMUG;206412;OL_DR20;349;297;;15%;-15%;($52)
