de-DE;ESDCDHSX8AM;174874;OL_DH18;99,95;74,95;;25 %;-25%;($25)
en-AU;ESDCDHSX8AM;174838;OL_DH18;149.95;111.95;;25%;-25%;($38)
en-CA;ESDCDHSX8AM;174838;OL_DH18;139.99;99.99;;CA$ 40;-29%;($40)
en-GB;ESDCDHSX8AM;174872;OL_DH18;114.99;84.99;;25%;-26%;($30)
en-IE;ESDCDHSX8AM;174872;OL_DH18;99.95;74.95;;25%;-25%;($25)
en-NZ;ESDCDHSX8AM;174838;OL_DH18;149.95;111.95;;25%;-25%;($38)
en-US;ESDCDHSX8AM;174838;OL_DH18;129.99;99.99;;$30;-23%;($30)
es-MX;ESDCDHSX8AM;174838;OL_DH18;1,970;1,477;;25%;-25%;($493)
fr-FR;ESDCDHSX8AM;174872;OL_DH18;99,95;74,95;;25 %;-25%;($25)
it-IT;ESDCDHSX8AM;174872;OL_DH18;99,95;74,95;;25%;-25%;($25)
pt-BR;ESDCDHSX8AM;4658760400;OL_DH18;609;456;;25%;-25%;($153)
