de-DE;ESDCDTS2018ML;209744;OL_DE19;999;949;;5%;-5%;($50);899;;10%;-10%;($100);849;;15%;-15%;($150)
de-DE;ESDCDTS2018MLUG;209745;OL_DE19;479;455;;5%;-5%;($24);431;;10%;-10%;($48);407;;15%;-15%;($72)
en-AU;ESDCDTS2018ML;209744;OL_DE19;1399;1329;;5%;-5%;($70);1259;;10%;-10%;($140);1189;;15%;-15%;($210)
en-AU;ESDCDTS2018MLUG;209745;OL_DE19;599;569;;5%;-5%;($30);539;;10%;-10%;($60);509;;15%;-15%;($90)
en-CA;CDTS2018MLDVD;5187381400;OL_DE19;1199;1139;;CA$ 60;-5%;($60);1079;;CA$ 120;-10%;($120);1019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2018ML;209744;OL_DE19;1199;1139;;CA$ 60;-5%;($60);1079;;CA$ 120;-10%;($120);1019;;CA$ 180;-15%;($180)
en-CA;ESDCDTS2018MLUG;209745;OL_DE19;515;489;;CA$ 25;-5%;($26);463;;CA$ 50;-10%;($52);437;;CA$ 75;-15%;($78)
en-GB;ESDCDTS2018ML;209744;OL_DE19;899.99;854.99;;5%;-5%;($45);809.99;;10%;-10%;($90);764.99;;15%;-15%;($135)
en-GB;ESDCDTS2018MLUG;209745;OL_DE19;439.99;417.99;;5%;-5%;($22);394.99;;10%;-10%;($45);373.99;;15%;-15%;($66)
en-US;CDTS2018MLDVD;5187381400;OL_DE19;999;949;;$50 ;-5%;($50);899;;$100 ;-10%;($100);849;;$150 ;-15%;($150)
en-US;ESDCDTS2018ML;209744;OL_DE19;999;949;;$50 ;-5%;($50);899;;$100 ;-10%;($100);849;;$150 ;-15%;($150)
en-US;ESDCDTS2018MLUG;209745;OL_DE19;429;407;;$20 ;-5%;($22);386;;$40 ;-10%;($43);364;;$65 ;-15%;($65)
fr-FR;ESDCDTS2018ML;209744;OL_DE19;999;949;;5%;-5%;($50);899;;10%;-10%;($100);849;;15%;-15%;($150)
fr-FR;ESDCDTS2018MLUG;209745;OL_DE19;479;455;;5%;-5%;($24);431;;10%;-10%;($48);407;;15%;-15%;($72)
ja-JP;ESDCDTS2018ML;209744;OL_DE19;151200;143640;;5%;-5%;($7,560);136080;;10%;-10%;($15,120);128520;;15%;-15%;($22,680)
ja-JP;ESDCDTS2018MLUG;209745;OL_DE19;75600;71820;;5%;-5%;($3,780);68040;;10%;-10%;($7,560);64260;;15%;-15%;($11,340)
