en-CA;CDGS2018EFDP;5169625800;OL_DR20;599;419;;CA$ 180;-30%;($180)
en-CA;CDGS2018EFDPUG;5169625900;OL_DR20;249;174;;CA$ 75;-30%;($75)
en-CA;ESDCDGS2018AM;206390;OL_DR20;599;419;;CA$ 180;-30%;($180)
en-CA;ESDCDGS2018AMUG;206391;OL_DR20;249;174;;CA$ 75;-30%;($75)
de-DE;ESDCDGS2018AM;206392;OL_DR20;699;559;;20 %;-20%;($140)
de-DE;ESDCDGS2018AMUG;206412;OL_DR20;349;279;;20 %;-20%;($70)
en-AU;ESDCDGS2018AM;206415;OL_DR20;779;623;;20%;-20%;($156)
en-AU;ESDCDGS2018AMUG;206416;OL_DR20;309;247;;20%;-20%;($62)
en-GB;CDGS2018EFDP;5169625800;OL_DR20;599.99;479.99;;20%;-20%;($120)
en-GB;CDGS2018EFDPUG;5169625900;OL_DR20;299.99;239.99;;20%;-20%;($60)
en-GB;ESDCDGS2018AM;206392;OL_DR20;599.99;479.99;;20%;-20%;($120)
en-GB;ESDCDGS2018AMUG;206412;OL_DR20;299.99;239.99;;20%;-20%;($60)
en-US;CDGS2018EFDP;5169625800;OL_DR20;499;349;;$150;-30%;($150)
en-US;CDGS2018EFDPUG;5169625800;OL_DR20;199;139;;$60;-30%;($60)
en-US;ESDCDGS2018AM;206390;OL_DR20;499;349;;$150;-30%;($150)
en-US;ESDCDGS2018AMUG;206391;OL_DR20;199;139;;$60;-30%;($60)
fr-FR;ESDCDGS2018AM;206392;OL_DR20;699;559;;20 %;-20%;($140)
fr-FR;ESDCDGS2018AMUG;206412;OL_DR20;349;279;;20 %;-20%;($70)
pt-BR;ESDCDGS2018AM;5169626100;OL_DR20;2.399;1.679;;30%;-30%;($720)
pt-BR;ESDCDGS2018AMUG;5169626200;OL_DR20;899;629;;30%;-30%;($270)
