en-CA;ESDPTR2018ML;192507;PTR_2018;499;374;;CA$ 125;-25%;($125)
en-CA;ESDPTR2018MLUG;192509;PTR_2018;269;199;;CA$ 70;-26%;($70)
de-DE;ESDPTR2018ML;192507;PTR_2018;424.95;317.95;;25%;-25%;($107)
de-DE;ESDPTR2018MLUG;192509;PTR_2018;218.95;163.95;;25%;-25%;($55)
en-AU;ESDPTR2018ML;192507;PTR_2018;429;321;;25%;-25%;($108)
en-AU;ESDPTR2018MLUG;192509;PTR_2018;229;171;;25%;-25%;($58)
en-GB;ESDPTR2018ML;192507;PTR_2018;359.99;269.99;;25%;-25%;($90)
en-GB;ESDPTR2018MLUG;192509;PTR_2018;179.99;134.99;;25%;-25%;($45)
en-US;ESDPTR2018ML;192507;PTR_2018;429;319;;$110 ;-26%;($110)
en-US;ESDPTR2018MLUG;192509;PTR_2018;229;169;;$60 ;-26%;($60)
fr-FR;ESDPTR2018ML;192507;PTR_2018;424.95;317.95;;25%;-25%;($107)
fr-FR;ESDPTR2018MLUG;192509;PTR_2018;218.95;163.95;;25%;-25%;($55)
ja-JP;ESDPTR2018ML;192507;PTR_2018;53784;40338;;25%;-25%;($13,446)
ja-JP;ESDPTR2018MLUG;192509;PTR_2018;26784;20088;;25%;-25%;($6,696)
