de-DE;ESDPTRPLPART;161829;ParticleShop;49,95;44,95;;10 %;-10%;($5)
en-AU;ESDPTRPLPART;161829;ParticleShop;69.95;62.95;;10%;-10%;($7)
en-CA;ESDPTRPLPART;161829;ParticleShop;49.99;44.99;;10%;-10%;($5)
en-GB;ESDPTRPLPART;161829;ParticleShop;44.99;39.99;;10%;-11%;($5)
en-IE;ESDPTRPLPART;161829;ParticleShop;49.95;44.95;;10%;-10%;($5)
en-US;ESDPTRPLPART;161829;ParticleShop;49.99;44.99;;10%;-10%;($5)
es-MX;ESDPTRPLPART;161829;ParticleShop;785;706;;10%;-10%;($79)
fr-FR;ESDPTRPLPART;161829;ParticleShop;49,95;44,95;;10 %;-10%;($5)
ja-JP;ESDPTRPLPART;161829;ParticleShop;6,150;5,535;;10%;-10%;($615)
pt-BR;ESDPTRPLPART;161829;ParticleShop;158;142;;10%;-10%;($16)
en-RW;ESDPTRPLPART;161829;ParticleShop;49.99;44.99;;10%;-10%;($5)
