en-CA;ESDVS2018ULML;205841;VSP ULT 2018;99.99;59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
en-CA;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;VS2018UMLMBAM;5143658400;VSP ULT 2018;99.99;59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
de-DE;ESDVS2018ULML;205841;VSP ULT 2018;89,99;64,99;;25 %;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
de-DE;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;49,99;;25 %;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-AU;ESDVS2018ULML;205841;VSP ULT 2018;129;96;;25%;-26%;($33);96;;25%;-26%;($33);90;;30%;-30%;($39);90;;30%;-30%;($39);90;;30%;-30%;($39)
en-AU;ESDVS2018ULMLUG;205842;VSP ULT 2018;99;74;;25%;-25%;($25);74;;25%;-25%;($25);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30)
en-GB;ESDVS2018ULML;205841;VSP ULT 2018;89.99;64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
en-GB;ESDVS2018ULMLUG;205842;VSP ULT 2018;69.99;49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-US;ESDVS2018ULML;205841;VSP ULT 2018;99.99;59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
en-US;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;VS2018UMLMBAM;5143658400;VSP ULT 2018;99.99;59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50);49.99;;50%;-50%;($50)
fr-FR;ESDVS2018ULML;205841;VSP ULT 2018;89,99;64,99;;25 %;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27);62.99;;30%;-30%;($27)
fr-FR;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;49,99;;25 %;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
ja-JP;ESDVS2018ULML;205841;VSP ULT 2018;18,144;13,608;;25%;-25%;($4,536);13608;;25%;-25%;($4,536);12700;;30%;-30%;($5,444);12700;;30%;-30%;($5,444);12700;;30%;-30%;($5,444)
ja-JP;ESDVS2018ULMLUG;205842;VSP ULT 2018;13,824;10,368;;25%;-25%;($3,456);10368;;25%;-25%;($3,456);9676;;30%;-30%;($4,148);9676;;30%;-30%;($4,148);9676;;30%;-30%;($4,148)
pt-BR;ESDVS2018ULML;205841;VSP ULT 2018;199;149;;25%;-25%;($50);149;;25%;-25%;($50);139;;30%;-30%;($60);139;;30%;-30%;($60);139;;30%;-30%;($60)
pt-BR;ESDVS2018ULMLUG;205842;VSP ULT 2018;159;119;;25%;-25%;($40);119;;25%;-25%;($40);111;;30%;-30%;($48);111;;30%;-30%;($48);111;;30%;-30%;($48)
