en-CA;ESDWPX9PREF;213729;OL_WP19PRO;519.99;439.99;;CA$ 80;-15%;($80)
en-CA;ESDWPX9PREFUG;213731;OL_WP19PRO;337.99;284.99;;CA$ 50;-16%;($53)
en-GB;ESDWPX9PREF;213729;OL_WP19PRO;514.99;434.99;;15%;-16%;($80)
en-GB;ESDWPX9PREFUG;213731;OL_WP19PRO;254.99;214.99;;15%;-16%;($40)
en-IE;ESDWPX9PREF;213729;OL_WP19PRO;664.99;564.99;;15%;-15%;($100)
en-IE;ESDWPX9PREFUG;213731;OL_WP19PRO;334.99;283.99;;15%;-15%;($51)
en-US;ESDWPX9PREF;213729;OL_WP19PRO;399.99;339.99;;$60;-15%;($60)
en-US;ESDWPX9PREFUG;213731;OL_WP19PRO;259.99;219.99;;$40;-15%;($40)
en-AU;ESDWPX9PREF;213729;OL_WP19PRO;449.95;381.95;;15%;-15%;($68)
en-AU;ESDWPX9PREFUG;213731;OL_WP19PRO;299.95;254.95;;15%;-15%;($45)
