en-AU;ESDWPx9STDENFR;168162;OL_WP18;399.95;319.95;;20%;-20%;($80)
en-AU;ESDWPx9STDENFRUG;168198;OL_WP18;199.95;159.95;;20%;-20%;($40)
en-CA;ESDWPx9STDENFR;168162;OL_WP18;324.99;259.99;;CA$ 65;-20%;($65)
en-CA;ESDWPx9STDENFRUG;168198;OL_WP18;207.99;164.99;;CA$ 40;-21%;($43)
en-GB;ESDWPx9STDENFR;168162;OL_WP18;319.99;249.99;;20%;-22%;($70)
en-GB;ESDWPx9STDENFRUG;168198;OL_WP18;154.99;119.99;;20%;-23%;($35)
en-IE;ESDWPx9STDENFR;168162;OL_WP18;414.99;329.99;;20%;-20%;($85)
en-IE;ESDWPx9STDENFRUG;168198;OL_WP18;204.99;159.99;;20%;-22%;($45)
en-US;ESDWPx9STDENFR;168162;OL_WP18;249.99;199.99;;$50;-20%;($50)
en-US;ESDWPx9STDENFRUG;168198;OL_WP18;159.99;124.99;;$35;-22%;($35)
ja-JP;ESDWPx9STDENFR;168162;OL_WP18;44,021;;;;;
ja-JP;ESDWPx9STDENFRUG;168198;OL_WP18;20,365;;;;;
pt-BR;ESDWPx9STDENFR;857301900;OL_WP18;500;;;;;
pt-BR;ESDWPx9STDENFRUG;857302000;OL_WP18;330;;;;;
