en-AU;ESDWPX8STDENFR;168162;OL_WP18;399.95;239.95;;40%;-40%;($160)
en-AU;ESDWPX8STDENFRUG;168198;OL_WP18;199.95;119.95;;40%;-40%;($80)
en-CA;ESDWPX8STDENFR;168162;OL_WP18;324.99;194.99;;CA$ 130;-40%;($130)
en-CA;ESDWPX8STDENFRUG;168198;OL_WP18;207.99;123.99;;CA$ 84;-40%;($84)
en-GB;ESDWPX8STDENFR;168162;OL_WP18;319.99;191.99;;40%;-40%;($128)
en-GB;ESDWPX8STDENFRUG;168198;OL_WP18;154.99;92.99;;40%;-40%;($62)
en-IE;ESDWPX8STDENFR;168162;OL_WP18;414.99;248.99;;40%;-40%;($166)
en-IE;ESDWPX8STDENFRUG;168198;OL_WP18;204.99;122.99;;40%;-40%;($82)
en-US;ESDWPX8STDENFR;168162;OL_WP18;249.99;149.99;;$100;-40%;($100)
en-US;ESDWPX8STDENFRUG;168198;OL_WP18;159.99;95.99;;$64;-40%;($64)
ja-JP;ESDWPX8STDENFR;168162;OL_WP18;44,021;26,412;;40%;-40%;($17,609)
ja-JP;ESDWPX8STDENFRUG;168198;OL_WP18;20,365;12,219;;40%;-40%;($8,146)
pt-BR;ESDWPX8STDENFR;857301900;OL_WP18;500;;;;;
pt-BR;ESDWPX8STDENFRUG;857302000;OL_WP18;330;;;;;
