en-CA;ESDCPDFF1EN;140602;OL_PDF01;69.99;44.99;;CA$ 25;-36%;-$25
en-GB;ESDCPDFF1EN;140602;OL_PDF01;44.99;32.99;;25%;-27%;-$12
en-IE;ESDCPDFF1EN;140602;OL_PDF01;50;36.99;;25%;-26%;-$13
en-NZ;ESDCPDFF1EN;140602;OL_PDF01;79.95;59.95;;25%;-25%;-$20
en-US;ESDCPDFF1EN;140602;OL_PDF01;69.99;44.99;;$25;-36%;-$25
en-ZA;ESDCPDFF1EN;140602;OL_PDF01;649;486;;25%;-25%;-$163
ja-JP;ESDCPDFF1EN;140602;OL_PDF01;8,300;6,180;;25%;-25%;-$2,075
nb-NO;ESDCPDFF1EN;140602;OL_PDF01;410;307;;25%;-25%;-$103
pt-BR;ESDCPDFF1EN;295667700;OL_PDF01;220;165;;25%;-25%;-$55
se-SE;ESDCPDFF1EN;140602;OL_PDF01;439.99;329;;25%;-25%;-$111
