de-DE;ESDPE5MLPCM;148290;OL_PE05;39,99;29,99;;25 %;-25%;($10)
en-AU;ESDPE5MLPCM;148290;OL_PE05;59;44;;25%;-25%;($15)
en-CA;ESDPE5MLPCM;148290;OL_PE05;49.99;36.99;;25%;-26%;($13)
en-GB;ESDPE5MLPCM;148290;OL_PE05;34.99;25.99;;25%;-26%;($9)
en-IE;ESDPE5MLPCM;148290;OL_PE05;39.99;29.99;;25%;-25%;($10)
en-US;ESDPE5MLPCM;148290;OL_PE05;49.99;36.99;;25%;-26%;($13)
es-MX;ESDPE5MLPCM;148290;OL_PE05;679;509;;25%;-25%;($170)
fr-FR;ESDPE5MLPCM;148290;OL_PE05;39,99;29,99;;25 %;-25%;($10)
ja-JP;ESDPE5MLPCM;153417;OL_PE05;7,800;5,850;;25%;-25%;($1,950)
pt-BR;ESDPE5MLPCM;148290;OL_PE05;125;93;;25%;-26%;($32)
