en-CA;PK_PI13ESD;139609;PI X3;69.99;29.99;;CA$ 40;-57%;($40)
en-CA;PK_PI13UGESD;139725;PI X3;49.99;19.99;;CA$ 30;-60%;($30)
de-DE;PK_PI13ESD;139609;PI X3;89,99;39,99;;55 %;-56%;($50)
de-DE;PK_PI13UGESD;139725;PI X3;68,99;29,99;;55 %;-57%;($39)
en-AU;PK_PI13ESD;139609;PI X3;159;69;;55%;-57%;($90)
en-AU;PK_PI13UGESD;139725;PI X3;99;43;;55%;-57%;($56)
en-GB;PK_PI13ESD;139609;PI X3;129.99;57.99;;55%;-55%;($72)
en-GB;PK_PI13UGESD;139725;PI X3;89.99;39.99;;55%;-56%;($50)
en-US;PK_PI13ESD;139609;PI X3;69.99;29.99;;$40 ;-57%;($40)
en-US;PK_PI13UGESD;139725;PI X3;49.99;19.99;;$30 ;-60%;($30)
fr-FR;PK_PI13ESD;139609;PI X3;89,99;39,99;;55 %;-56%;($50)
fr-FR;PK_PI13UGESD;139725;PI X3;68,99;29,99;;55 %;-57%;($39)
ja-JP;PK_PI13ESD;139609;PI X3;8,290;6,218;;25%;-25%;($2,072)
ja-JP;PK_PI13UGESD;139725;PI X3;5,921;4,441;;25%;-25%;($1,480)
pt-BR;PK_PI13ESD;139609;PI X3;119;53;;55%;-55%;($66)
pt-BR;PK_PI13UGESD;139725;PI X3;122;54;;55%;-56%;($68)
