en-CA;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;69.99;;10%;-13%;($10)
en-CA;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;53.99;;10%;-10%;($6)
da-DK;ESDPSP2020ML;220765;PSP_2020_PRO;549;494;;10%;-10%;($55)
da-DK;ESDPSP2020MLUG;220766;PSP_2020_PRO;399;359;;10%;-10%;($40)
de-DE;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;62,99;;10%;-10%;($7)
de-DE;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;44,99;;10%;-10%;($5)
de-LI;ESDPSP2020ML;220765;PSP_2020_PRO;79.95;71.95;;10%;-10%;($8)
de-LI;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.95;53.95;;10%;-10%;($6)
en-AU;ESDPSP2020ML;220765;PSP_2020_PRO;119;107;;10%;-10%;($12)
en-AU;ESDPSP2020MLUG;220766;PSP_2020_PRO;89;80;;10%;-10%;($9)
en-GB;ESDPSP2020ML;220765;PSP_2020_PRO;69.99;62.99;;10%;-10%;($7)
en-GB;ESDPSP2020MLUG;220766;PSP_2020_PRO;49.99;44.99;;10%;-10%;($5)
en-IE;ESDPSP2020ML;220765;PSP_2020_PRO;69.99;62.99;;10%;-10%;($7)
en-IE;ESDPSP2020MLUG;220766;PSP_2020_PRO;49.99;44.99;;10%;-10%;($5)
en-IN;ESDPSP2020ML;220765;PSP_2020_PRO;5,200;4,680;;10%;-10%;($520)
en-IN;ESDPSP2020MLUG;220766;PSP_2020_PRO;4,100;3,690;;10%;-10%;($410)
en-MY;ESDPSP2020ML;220765;PSP_2020_PRO;335;301;;10%;-10%;($34)
en-MY;ESDPSP2020MLUG;220766;PSP_2020_PRO;250;225;;10%;-10%;($25)
en-NZ;ESDPSP2020ML;220765;PSP_2020_PRO;134;120;;10%;-10%;($14)
en-NZ;ESDPSP2020MLUG;220766;PSP_2020_PRO;99;89;;10%;-10%;($10)
en-SG;ESDPSP2020ML;220765;PSP_2020_PRO;99;89;;10%;-10%;($10)
en-SG;ESDPSP2020MLUG;220766;PSP_2020_PRO;79;71;;10%;-10%;($8)
en-US;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;69.99;;10%;-13%;($10)
en-US;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;53.99;;10%;-10%;($6)
en-ZA;ESDPSP2020ML;220765;PSP_2020_PRO;1,100;990;;10%;-10%;($110)
en-ZA;ESDPSP2020MLUG;220766;PSP_2020_PRO;825;742;;10%;-10%;($83)
es-ES;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;62,99;;10%;-10%;($7)
es-ES;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;44,99;;10%;-10%;($5)
es-MX;ESDPSP2020ML;220765;PSP_2020_PRO;1,900;1,710;;10%;-10%;($190)
es-MX;ESDPSP2020MLUG;220766;PSP_2020_PRO;1,400;1,260;;10%;-10%;($140)
fr-FR;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;62,99;;10%;-10%;($7)
fr-FR;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;44,99;;10%;-10%;($5)
it-IT;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;62,99;;10%;-10%;($7)
it-IT;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;44,99;;10%;-10%;($5)
ja-JP;ESDPSP2020ML;220765;PSP_2020_PRO;9,680;8,680;;10%;-10%;($1,000)
ja-JP;ESDPSP2020MLUG;220766;PSP_2020_PRO;6,480;5,800;;10%;-10%;($680)
ko-KR;ESDPSP2020ML;220765;PSP_2020_PRO;88,000;79,200;;10%;-10%;($8,800)
ko-KR;ESDPSP2020MLUG;220766;PSP_2020_PRO;67,000;60,300;;10%;-10%;($6,700)
nb-NO;ESDPSP2020ML;220765;PSP_2020_PRO;599;539;;10%;-10%;($60)
nb-NO;ESDPSP2020MLUG;220766;PSP_2020_PRO;429;386;;10%;-10%;($43)
nl-NL;ESDPSP2020ML;220765;PSP_2020_PRO;69,99;62,99;;10%;-10%;($7)
nl-NL;ESDPSP2020MLUG;220766;PSP_2020_PRO;49,99;44,99;;10%;-10%;($5)
pl-PL;ESDPSP2020ML;220765;PSP_2020_PRO;299;269;;10%;-10%;($30)
pl-PL;ESDPSP2020MLUG;220766;PSP_2020_PRO;229;206;;10%;-10%;($23)
pt-BR;ESDPSP2020ML;220765;PSP_2020_PRO;309;278;;10%;-10%;($31)
pt-BR;ESDPSP2020MLUG;220766;PSP_2020_PRO;229;206;;10%;-10%;($23)
ru-RU;ESDPSP2020ML;220765;PSP_2020_PRO;6,300;;;;;
ru-RU;ESDPSP2020MLUG;220766;PSP_2020_PRO;4,700;;;;;
se-SE;ESDPSP2020ML;220765;PSP_2020_PRO;769;692;;10%;-10%;($77)
se-SE;ESDPSP2020MLUG;220766;PSP_2020_PRO;539;485;;10%;-10%;($54)
zh-HK;ESDPSP2020ML;220765;PSP_2020_PRO;620;558;;10%;-10%;($62)
zh-HK;ESDPSP2020MLUG;220766;PSP_2020_PRO;470;423;;10%;-10%;($47)
zh-TW;ESDPSP2020ML;220765;PSP_2020_PRO;3,200;2,880;;10%;-10%;($320)
zh-TW;ESDPSP2020MLUG;220766;PSP_2020_PRO;2,600;2,340;;10%;-10%;($260)
en-RW;ESDPSP2020ML;220765;PSP_2020_PRO;79.99;69.99;;10%;-13%;($10)
en-RW;ESDPSP2020MLUG;220766;PSP_2020_PRO;59.99;53.99;;10%;-10%;($6)
