en-CA;ESDPSP2019ML;214711;PSP_2019_PRO;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;ESDPSP2019MLUG;214712;PSP_2019_PRO;59.99;34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
en-CA;PSP2019EFMBAM;5199501200;PSP_2019_PRO;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;PSP2019EFMBUGAM;5199501300;PSP_2019_PRO;59.99;34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
de-DE;ESDPSP2019ML;214711;PSP_2019_PRO;69,99;49,99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
de-DE;ESDPSP2019MLUG;214712;PSP_2019_PRO;49,99;36,99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
en-AU;ESDPSP2019ML;214711;PSP_2019_PRO;99;74;;25%;-25%;($25);74;;25%;-25%;($25);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30)
en-AU;ESDPSP2019MLUG;214712;PSP_2019_PRO;69;51;;25%;-26%;($18);51;;25%;-26%;($18);48;;30%;-30%;($21);48;;30%;-30%;($21);48;;30%;-30%;($21);48;;30%;-30%;($21)
en-GB;ESDPSP2019ML;214711;PSP_2019_PRO;69.99;49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-GB;ESDPSP2019MLUG;214712;PSP_2019_PRO;49.99;36.99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
en-US;ESDPSP2019ML;214711;PSP_2019_PRO;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;ESDPSP2019MLUG;214712;PSP_2019_PRO;59.99;34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
en-US;PSP2019EFMBAM;5199501200;PSP_2019_PRO;79.99;47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;PSP2019EFMBUGAM;5199501300;PSP_2019_PRO;59.99;34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
fr-FR;ESDPSP2019ML;214711;PSP_2019_PRO;69,99;49,99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
fr-FR;ESDPSP2019MLUG;214712;PSP_2019_PRO;49,99;36,99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
ja-JP;ESDPSP2019ML;214711;PSP_2019_PRO;9,698;7,273;;25%;-25%;($2,425);7273;;25%;-25%;($2,425);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910)
ja-JP;ESDPSP2019MLUG;214712;PSP_2019_PRO;6,458;4,843;;25%;-25%;($1,615);4843;;25%;-25%;($1,615);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938)
pt-BR;ESDPSP2019ML;214711;PSP_2019_PRO;159;119;;25%;-25%;($40);119;;25%;-25%;($40);111;;30%;-30%;($48);111;;30%;-30%;($48);111;;30%;-30%;($48);111;;30%;-30%;($48)
pt-BR;ESDPSP2019ML;214711;PSP_2019_PRO;129;96;;25%;-26%;($33);96;;25%;-26%;($33);90;;30%;-30%;($39);90;;30%;-30%;($39);90;;30%;-30%;($39);90;;30%;-30%;($39)
