en-CA;ESDPSP2019ML;214711;PSP_2019_PRO;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;ESDPSP2019MLUG;214712;PSP_2019_PRO;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
en-CA;PSP2019EFMBAM;5199501200;PSP_2019_PRO;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-CA;PSP2019EFMBUGAM;5199501300;PSP_2019_PRO;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
de-DE;ESDPSP2019ML;214711;PSP_2019_PRO;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
de-DE;ESDPSP2019MLUG;214712;PSP_2019_PRO;49,99;39,99;;20 %;-20%;($10);36.99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
en-AU;ESDPSP2019ML;214711;PSP_2019_PRO;99;79;;20%;-20%;($20);74;;25%;-25%;($25);74;;25%;-25%;($25);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30);69;;30%;-30%;($30)
en-AU;ESDPSP2019MLUG;214712;PSP_2019_PRO;69;55;;20%;-20%;($14);51;;25%;-26%;($18);51;;25%;-26%;($18);48;;30%;-30%;($21);48;;30%;-30%;($21);48;;30%;-30%;($21);48;;30%;-30%;($21)
en-GB;ESDPSP2019ML;214711;PSP_2019_PRO;69.99;54.99;;20%;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
en-GB;ESDPSP2019MLUG;214712;PSP_2019_PRO;49.99;39.99;;20%;-20%;($10);36.99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
en-US;ESDPSP2019ML;214711;PSP_2019_PRO;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;ESDPSP2019MLUG;214712;PSP_2019_PRO;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
en-US;PSP2019EFMBAM;5199501200;PSP_2019_PRO;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40);39.99;;50%;-50%;($40)
en-US;PSP2019EFMBUGAM;5199501300;PSP_2019_PRO;59.99;39.99;;30%;-33%;($20);34.99;;40%;-42%;($25);34.99;;40%;-42%;($25);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30);29.99;;50%;-50%;($30)
fr-FR;ESDPSP2019ML;214711;PSP_2019_PRO;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21);48.99;;30%;-30%;($21)
fr-FR;ESDPSP2019MLUG;214712;PSP_2019_PRO;49,99;39,99;;20 %;-20%;($10);36.99;;25%;-26%;($13);36.99;;25%;-26%;($13);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15);34.99;;30%;-30%;($15)
ja-JP;ESDPSP2019ML;214711;PSP_2019_PRO;9,698;7,758;;20%;-20%;($1,940);7273;;25%;-25%;($2,425);7273;;25%;-25%;($2,425);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910);6788;;30%;-30%;($2,910)
ja-JP;ESDPSP2019MLUG;214712;PSP_2019_PRO;6,458;5,166;;20%;-20%;($1,292);4843;;25%;-25%;($1,615);4843;;25%;-25%;($1,615);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938);4520;;30%;-30%;($1,938)
