de-DE;ESDPSP2019ULML;214713;PSP_2019_ULT;89,99;64,99;;25 %;-28%;($25)
de-DE;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69,99;49,99;;25 %;-29%;($20)
en-AU;ESDPSP2019ULML;214713;PSP_2019_ULT;129;96;;25%;-26%;($33)
en-AU;ESDPSP2019ULMUG;214714;PSP_2019_ULT;89;66;;25%;-26%;($23)
en-CA;ESDPSP2019ULML;214713;PSP_2019_ULT;99.99;74.99;;25%;-25%;($25)
en-CA;ESDPSP2019ULMUG;214714;PSP_2019_ULT;79.99;59.99;;25%;-25%;($20)
en-CA;PSP2019ULEFMBAM;5199501500;PSP_2019_ULT;99.99;74.99;;25%;-25%;($25)
en-CA;PSP2019ULEFMBUGAM;5199501600;PSP_2019_ULT;79.99;59.99;;25%;-25%;($20)
en-GB;ESDPSP2019ULML;214713;PSP_2019_ULT;89.99;64.99;;25%;-28%;($25)
en-GB;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69.99;49.99;;25%;-29%;($20)
en-US;ESDPSP2019ULML;214713;PSP_2019_ULT;99.99;74.99;;25%;-25%;($25)
en-US;ESDPSP2019ULMUG;214714;PSP_2019_ULT;79.99;59.99;;25%;-25%;($20)
en-US;PSP2019ULEFMBAM;5199501500;PSP_2019_ULT;99.99;74.99;;25%;-25%;($25)
en-US;PSP2019ULEFMBUGAM;5199501600;PSP_2019_ULT;79.99;59.99;;25%;-25%;($20)
fr-FR;ESDPSP2019ULML;214713;PSP_2019_ULT;89,99;64,99;;25 %;-28%;($25)
fr-FR;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69,99;49,99;;25 %;-29%;($20)
ja-JP;ESDPSP2019ULML;214713;PSP_2019_ULT;13,824;10,368;;25%;-25%;($3,456)
ja-JP;ESDPSP2019ULMUG;214714;PSP_2019_ULT;9,504;7,128;;25%;-25%;($2,376)
pt-BR;ESDPSP2019ULML;214713;PSP_2019_ULT;199;149;;25%;-25%;($50)
pt-BR;ESDPSP2019ULMUG;214714;PSP_2019_ULT;159;119;;25%;-25%;($40)
