en-CA;ESDPSP2019ULML;214713;PSP_2019_ULT;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50)
en-CA;ESDPSP2019ULMUG;214714;PSP_2019_ULT;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-CA;PSP2019ULEFMBAM;5199501500;PSP_2019_ULT;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50)
en-CA;PSP2019ULEFMBUGAM;5199501600;PSP_2019_ULT;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
de-DE;ESDPSP2019ULML;214713;PSP_2019_ULT;89,99;69,99;;20 %;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27)
de-DE;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69,99;54,99;;2 0%;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
en-AU;ESDPSP2019ULML;214713;PSP_2019_ULT;129;103;;20%;-20%;($26);96;;25%;-26%;($33);96;;25%;-26%;($33);90;;30%;-30%;($39)
en-AU;ESDPSP2019ULMUG;214714;PSP_2019_ULT;89;71;;20%;-20%;($18);66;;25%;-26%;($23);66;;25%;-26%;($23);62;;30%;-30%;($27)
en-GB;ESDPSP2019ULML;214713;PSP_2019_ULT;89.99;69.99;;20%;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27)
en-GB;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69.99;54.99;;20%;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
en-US;ESDPSP2019ULML;214713;PSP_2019_ULT;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50)
en-US;ESDPSP2019ULMUG;214714;PSP_2019_ULT;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-US;PSP2019ULEFMBAM;5199501500;PSP_2019_ULT;99.99;69.99;;30%;-30%;($30);59.99;;40%;-40%;($40);59.99;;40%;-40%;($40);49.99;;50%;-50%;($50)
en-US;PSP2019ULEFMBUGAM;5199501600;PSP_2019_ULT;79.99;54.99;;30%;-31%;($25);47.99;;40%;-40%;($32);47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
fr-FR;ESDPSP2019ULML;214713;PSP_2019_ULT;89,99;69,99;;20 %;-22%;($20);64.99;;25%;-28%;($25);64.99;;25%;-28%;($25);62.99;;30%;-30%;($27)
fr-FR;ESDPSP2019ULMUG;214714;PSP_2019_ULT;69,99;54,99;;20 %;-21%;($15);49.99;;25%;-29%;($20);49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
ja-JP;ESDPSP2019ULML;214713;PSP_2019_ULT;13,824;11,059;;20%;-20%;($2,765);10368;;25%;-25%;($3,456);10368;;25%;-25%;($3,456);9676;;30%;-30%;($4,148)
ja-JP;ESDPSP2019ULMUG;214714;PSP_2019_ULT;9,504;7,603;;20%;-20%;($1,901);7128;;25%;-25%;($2,376);7128;;25%;-25%;($2,376);6652;;30%;-30%;($2,852)
pt-BR;ESDPSP2019ULML;214713;PSP_2019_ULT;199;159;;20%;-20%;($40);149;;25%;-25%;($50);149;;25%;-25%;($50);139;;30%;-30%;($60)
pt-BR;ESDPSP2019ULMUG;214714;PSP_2019_ULT;159;127;;20%;-20%;($32);119;;25%;-25%;($40);119;;25%;-25%;($40);111;;30%;-30%;($48)
