da-DK;ESDPVS2019ML;201512;PVB_2018;1,098;658;;40%;-40%;-$440
de-DE;ESDPVS2019ML;201512;PVB_2018;139,99;82,99;;40 %;-41%;-$57
de-LI;ESDPVS2019ML;201512;PVB_2018;159.95;95.95;;40%;-40%;-$64
en-AU;ESDPVS2019ML;201512;PVB_2018;199;119;;40%;-40%;-$80
en-CA;ESDPVS2019ML;201512;PVB_2018;159.99;94.99;;40%;-41%;-$65
en-GB;ESDPVS2019ML;201512;PVB_2018;139.99;82.99;;40%;-41%;-$57
en-IE;ESDPVS2019ML;201512;PVB_2018;139.99;82.99;;40%;-41%;-$57
en-NZ;ESDPVS2019ML;201512;PVB_2018;199;119;;40%;-40%;-$80
en-US;ESDPVS2019ML;201512;PVB_2018;159.99;94.99;;40%;-41%;-$65
en-ZA;ESDPVS2019ML;201512;PVB_2018;1 598;958;;40%;-40%;-$640
es-ES;ESDPVS2019ML;201512;PVB_2018;139,99;82,99;;40%;-41%;-$57
es-MX;ESDPVS2019ML;201512;PVB_2018;1,998;1,198;;40%;-40%;-$800
fr-FR;ESDPVS2019ML;201512;PVB_2018;139,99;82,99;;40 %;-41%;-$57
it-IT;ESDPVS2019ML;201512;PVB_2018;139,99;82,99;;40%;-41%;-$57
ja-JP;ESDPVS2019ML;201512;PVB_2018;23,522;14,113;;40%;-40%;-$9,409
nb-NO;ESDPVS2019ML;201512;PVB_2018;1,198;718;;40%;-40%;-$480
nl-NL;ESDPVS2019ML;201512;PVB_2018;139,99;82,99;;40%;-41%;-$57
pl-PL;ESDPVS2019ML;201512;PVB_2018;599;359;;40%;-40%;-$240
pt-BR;ESDPVS2019ML;201512;PVB_2018;319;191;;40%;-40%;-$128
se-SE;ESDPVS2019ML;201512;PVB_2018;1,298;778;;40%;-40%;-$520
en-RW;ESDPVS2019ML;201512;PVB_2018;159.99;94.99;;40%;-41%;-$65
