de-DE;ESDPTRPLPART;161829;ParticleShop;49.95;41.95;;15 %;-10%;($5)
en-AU;ESDPTRPLPART;161829;ParticleShop;69.95;58.95;;15%;-10%;($7)
en-CA;ESDPTRPLPART;161829;ParticleShop;49.99;41.99;;15%;-10%;($5)
en-GB;ESDPTRPLPART;161829;ParticleShop;44.99;37.99;;15%;-11%;($5)
en-IE;ESDPTRPLPART;161829;ParticleShop;49.95;41.95;;15%;-10%;($5)
en-US;ESDPTRPLPART;161829;ParticleShop;49.99;41.99;;15%;-10%;($5)
es-MX;ESDPTRPLPART;161829;ParticleShop;785;667;;15%;-10%;($79)
fr-FR;ESDPTRPLPART;161829;ParticleShop;49,95;41,95;;15 %;-10%;($5)
ja-JP;ESDPTRPLPART;161829;ParticleShop;6,150;5,227;;15%;-10%;($615)
pt-BR;ESDPTRPLPART;161829;ParticleShop;158;134;;15%;-10%;($16)
en-RW;ESDPTRPLPART;161829;ParticleShop;49.99;41.99;;15%;-10%;($5)
