en-CA;ESDPHMIR;213407;PhotoMirage;69.99;34.99;;50%;-50%;($35)
da-DK;ESDPHMIR;213407;PhotoMirage;455;295.75;;35%;-35%;($159)
de-DE;ESDPHMIR;213407;PhotoMirage;59,99;38,99;;35 %;-35%;($21)
de-LI;ESDPHMIR;213407;PhotoMirage;61.95;40.25;;35%;-35%;($22)
en-AU;ESDPHMIR;213407;PhotoMirage;99;64.35;;35%;-35%;($35)
en-GB;ESDPHMIR;213407;PhotoMirage;49.99;31.99;;35%;-36%;($18)
en-IE;ESDPHMIR;213407;PhotoMirage;59.99;38.99;;35%;-35%;($21)
en-NZ;ESDPHMIR;213407;PhotoMirage;109.99;71.49;;35%;-35%;($39)
en-US;ESDPHMIR;213407;PhotoMirage;69.99;34.99;;50%;-50%;($35)
en-ZA;ESDPHMIR;213407;PhotoMirage;699;454.35;;35%;-35%;($245)
es-ES;ESDPHMIR;213407;PhotoMirage;59,99;38,99;;35%;-35%;($21)
es-MX;ESDPHMIR;213407;PhotoMirage;1,199;779;;35%;-35%;($420)
fr-FR;ESDPHMIR;213407;PhotoMirage;59,99;38,99;;35 %;-35%;($21)
it-IT;ESDPHMIR;213407;PhotoMirage;59,99;38,99;;35%;-35%;($21)
ja-JP;ESDPHMIR;213407;PhotoMirage;9,015;5,880;;35%;-35%;($3,135)
nb-NO;ESDPHMIR;213407;PhotoMirage;599;389;;35%;-35%;($210)
nl-NL;ESDPHMIR;213407;PhotoMirage;59,99;38,99;;35%;-35%;($21)
pl-PL;ESDPHMIR;213407;PhotoMirage;249;161;;35%;-35%;($88)
pt-BR;ESDPHMIR;213407;PhotoMirage;229;148;;35%;-35%;($81)
se-SE;ESDPHMIR;213407;PhotoMirage;649.99;422.49;;35%;-35%;($228)
en-RW;ESDPHMIR;213407;PhotoMirage;69.99;45.49;;35%;-35%;($25)
