en-CA;ESDVS2019ULML;205841;VSP ULT 2018;99.99;79.99;;20%;-20%;($20)
en-CA;ESDVS2019ULMLUG;205842;VSP ULT 2018;79.99;63.99;;20%;-20%;($16)
en-CA;VS2019UMLMBAM;5143658400;VSP ULT 2018;99.99;79.99;;20%;-20%;($20)
de-DE;ESDVS2019ULML;205841;VSP ULT 2018;89,9;69,99;;20%;-22%;($20)
de-DE;ESDVS2019ULMLUG;205842;VSP ULT 2018;69,99;54,99;;20%;-21%;($15)
en-AU;ESDVS2019ULML;205841;VSP ULT 2018;129;103;;20%;-20%;($26)
en-AU;ESDVS2019ULMLUG;205842;VSP ULT 2018;99;79;;20%;-20%;($20)
en-GB;ESDVS2019ULML;205841;VSP ULT 2018;89.99;69.99;;20%;-22%;($20)
en-GB;ESDVS2019ULMLUG;205842;VSP ULT 2018;69.99;54.99;;20%;-21%;($15)
en-US;ESDVS2019ULML;205841;VSP ULT 2018;99.99;79.99;;20%;-20%;($20)
en-US;ESDVS2019ULMLUG;205842;VSP ULT 2018;79.99;63.99;;20%;-20%;($16)
en-US;VS2019UMLMBAM;5143658400;VSP ULT 2018;99.99;79.99;;20%;-20%;($20)
fr-FR;ESDVS2019ULML;205841;VSP ULT 2018;89,99;69,99;;20%;-22%;($20)
fr-FR;ESDVS2019ULMLUG;205842;VSP ULT 2018;69,99;54,99;;20%;-21%;($15)
ja-JP;ESDVS2019ULML;205841;VSP ULT 2018;18,144;14,515;;20%;-20%;($3,629)
ja-JP;ESDVS2019ULMLUG;205842;VSP ULT 2018;13,824;11,059;;20%;-20%;($2,765)
