en-CA;ESDVS2019PRML;205839;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-CA;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
en-CA;VS2019PMLMBAM;5143658300;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
de-DE;ESDVS2019PRML;205839;VSP PRO 2018;69,99;49,99;;25 %;-29%;($20);48.99;;30%;-30%;($21)
de-DE;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;36,99;;25 %;-26%;($13);34.99;;30%;-30%;($15)
en-AU;ESDVS2019PRML;205839;VSP PRO 2018;99;74;;25%;-25%;($25);69;;30%;-30%;($30)
en-AU;ESDVS2019PRMLUG;205840;VSP PRO 2018;79;59;;25%;-25%;($20);55;;30%;-30%;($24)
en-GB;ESDVS2019PRML;205839;VSP PRO 2018;69.99;49.99;;25%;-29%;($20);48.99;;30%;-30%;($21)
en-GB;ESDVS2019PRMLUG;205840;VSP PRO 2018;49.99;36.99;;25%;-26%;($13);34.99;;30%;-30%;($15)
en-US;ESDVS2019PRML;205839;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
en-US;ESDVS2019PRMLUG;205840;VSP PRO 2018;59.99;34.99;;40%;-42%;($25);29.99;;50%;-50%;($30)
en-US;VS2019PMLMBAM;5143658300;VSP PRO 2018;79.99;47.99;;40%;-40%;($32);39.99;;50%;-50%;($40)
fr-FR;ESDVS2019PRML;205839;VSP PRO 2018;69,99;49,99;;25 %;-29%;($20);48.99;;30%;-30%;($21)
fr-FR;ESDVS2019PRMLUG;205840;VSP PRO 2018;49,99;36,99;;25 %;-26%;($13);34.99;;30%;-30%;($15)
ja-JP;ESDVS2019PRML;205839;VSP PRO 2018;13,824;10,368;;25%;-25%;($3,456);9676;;30%;-30%;($4,148)
ja-JP;ESDVS2019PRMLUG;205840;VSP PRO 2018;7,538;5,653;;25%;-25%;($1,885);5276;;30%;-30%;($2,262)
pt-BR;ESDVS2019PRML;205839;VSP PRO 2018;159;119;;25%;-25%;($40);111;;30%;-30%;($48)
