da-DK;ESDWD12PRML;180082;WinDVD Pro 12;549;301;;45%;-45%;-$248
da-DK;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;389;213;;45%;-45%;-$176
de-DE;ESDWD12PRML;180082;WinDVD Pro 12;69,99;37,99;;45 %;-46%;-$32
de-DE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;26,99;;45 %;-46%;-$23
de-LI;ESDWD12PRML;180082;WinDVD Pro 12;89.95;48.95;;45%;-46%;-$41
de-LI;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.95;32.95;;45%;-45%;-$27
en-AU;ESDWD12PRML;180082;WinDVD Pro 12;79;43;;45%;-46%;-$36
en-AU;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59;32;;45%;-46%;-$27
en-CA;ESDWD12PRML;180082;WinDVD Pro 12;79.99;43.99;;45%;-45%;-$36
en-CA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;32.99;;45%;-45%;-$27
en-GB;ESDWD12PRML;180082;WinDVD Pro 12;69.99;37.99;;45%;-46%;-$32
en-GB;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;44.99;23.99;;45%;-47%;-$21
en-IE;ESDWD12PRML;180082;WinDVD Pro 12;69.99;37.99;;45%;-46%;-$32
en-IE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49.99;26.99;;45%;-46%;-$23
en-NZ;ESDWD12PRML;180082;WinDVD Pro 12;89;48;;45%;-46%;-$41
en-NZ;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;69;37;;45%;-46%;-$32
en-US;ESDWD12PRML;180082;WinDVD Pro 12;79.99;43.99;;45%;-45%;-$36
en-US;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;32.99;;45%;-45%;-$27
en-ZA;ESDWD12PRML;180082;WinDVD Pro 12;799;439;;45%;-45%;-$360
en-ZA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;599;329;;45%;-45%;-$270
es-ES;ESDWD12PRML;180082;WinDVD Pro 12;69,99;37,99;;45%;-46%;-$32
es-ES;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;26,99;;45%;-46%;-$23
es-MX;ESDWD12PRML;180082;WinDVD Pro 12;999;549;;45%;-45%;-$450
es-MX;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;799;439;;45%;-45%;-$360
fr-FR;ESDWD12PRML;180082;WinDVD Pro 12;69,99;37,99;;45 %;-46%;-$32
fr-FR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;26,99;;45 %;-46%;-$23
it-IT;ESDWD12PRML;180082;WinDVD Pro 12;69,99;37,99;;45%;-46%;-$32
it-IT;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;26,99;;45%;-46%;-$23
ja-JP;ESDWD12PRML;180082;WinDVD Pro 12;7,020;3,861;;45%;-45%;-$3,159
ja-JP;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;5,832;3,207;;45%;-45%;-$2,625
nb-NO;ESDWD12PRML;180082;WinDVD Pro 12;699;384;;45%;-45%;-$315
nb-NO;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;499;274;;45%;-45%;-$225
nl-NL;ESDWD12PRML;180082;WinDVD Pro 12;69,99;37,99;;45%;-46%;-$32
nl-NL;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;26,99;;45%;-46%;-$23
pl-PL;ESDWD12PRML;180082;WinDVD Pro 12;299;164;;45%;-45%;-$135
pl-PL;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;229;125;;45%;-45%;-$104
pt-BR;ESDWD12PRML;180082;WinDVD Pro 12;239;131;;45%;-45%;-$108
pt-BR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;149;81;;45%;-46%;-$68
se-SE;ESDWD12PRML;180082;WinDVD Pro 12;679;373;;45%;-45%;-$306
se-SE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;489;268;;45%;-45%;-$221
en-RW;ESDWD12PRML;180082;WinDVD Pro 12;79.99;43.99;;45%;-45%;-$36
en-RW;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;32.99;;45%;-45%;-$27
