en-AU;ESDWPX9HSEF;213747;OL_WP19HS;199.95;189.95;;5%;-5%;($10);179.95;;10%;-10%;($20);169.95;;15%;-15%;($30)
en-CA;ESDWPX9HSEF;213747;OL_WP19HS;129.99;119.99;;5%;-8%;($10);114.99;;10%;-12%;($15);109.99;;15%;-15%;($20)
en-CA;WPOX9HSEFMBAM;5181541300;OL_WP19HS;129.99;119.99;;5%;-8%;($10);114.99;;10%;-12%;($15);109.99;;15%;-15%;($20)
en-GB;ESDWPX9HSEF;213747;OL_WP19HS;124.99;117.99;;5%;-6%;($7);111.99;;10%;-10%;($13);104.99;;15%;-16%;($20)
en-IE;ESDWPX9HSEF;213747;OL_WP19HS;164.99;154.99;;5%;-6%;($10);147.99;;10%;-10%;($17);139.99;;15%;-15%;($25)
en-NZ;ESDWPX9HSEF;213747;OL_WP19HS;199.95;189.95;;5%;-5%;($10);179.95;;10%;-10%;($20);169.95;;15%;-15%;($30)
en-US;ESDWPX9HSEF;213747;OL_WP19HS;99.99;94.99;;5%;-5%;($5);89.99;;10%;-10%;($10);84.99;;15%;-15%;($15)
en-US;WPOX9HSEFMBAM;5181541300;OL_WP19HS;99.99;94.99;;5%;-5%;($5);89.99;;10%;-10%;($10);84.99;;15%;-15%;($15)
en-ZA;ESDWPX9HSEF;213747;OL_WP19HS;1099;1044;;5%;-5%;($55);989;;10%;-10%;($110);934;;15%;-15%;($165)
ja-JP;ESDWPX9HSEF;213747;OL_WP19HS;18308;17392;;5%;-5%;($916);16477;;10%;-10%;($1,831);15561;;15%;-15%;($2,747)
