en-AU;ESDWPX9HSEF;213747;OL_WP19HS;199.95;169.95;;15%;-15%;($30)
en-CA;ESDWPX9HSEF;213747;OL_WP19HS;129.99;109.99;;15%;-15%;($20)
en-CA;WPOX9HSEFMBAM;5181541300;OL_WP19HS;129.99;109.99;;15%;-15%;($20)
en-GB;ESDWPX9HSEF;213747;OL_WP19HS;124.99;104.99;;15%;-16%;($20)
en-IE;ESDWPX9HSEF;213747;OL_WP19HS;164.99;139.99;;15%;-15%;($25)
en-NZ;ESDWPX9HSEF;213747;OL_WP19HS;199.95;169.95;;15%;-15%;($30)
en-US;ESDWPX9HSEF;213747;OL_WP19HS;99.99;84.99;;15%;-15%;($15)
en-US;WPOX9HSEFMBAM;5181541300;OL_WP19HS;99.99;84.99;;15%;-15%;($15)
en-ZA;ESDWPX9HSEF;213747;OL_WP19HS;1099;934;;15%;-15%;($165)
ja-JP;ESDWPX9HSEF;213747;OL_WP19HS;18308;15561;;15%;-15%;($2,747)
