en-CA;ESDWPX9STDEF;213721;OL_WP19;324.99;244.99;;CA$ 80;-25%;($80);244.99;;CA$ 80;-25%;($80)
en-CA;ESDWPX9STDEFUG;213722;OL_WP19;207.99;154.99;;CA$ 50;-25%;($53);154.99;;CA$ 50;-25%;($53)
en-CA;WPOX9STDEFMBAM;5180173500;OL_WP19;324.99;244.99;;CA$ 80;-25%;($80);244.99;;CA$ 80;-25%;($80)
en-CA;WPOX9STDEFMBUGAM;5180173600;OL_WP19;207.99;154.99;;CA$ 50;-25%;($53);154.99;;CA$ 50;-25%;($53)
en-AU;ESDWPX9STDEF;213721;OL_WP19;399.95;299.95;;25%;-25%;($100);299.95;;25%;-25%;($100)
en-AU;ESDWPX9STDEFUG;213722;OL_WP19;229.95;172.95;;25%;-25%;($57);172.95;;25%;-25%;($57)
en-GB;ESDWPX9STDEF;213721;OL_WP19;319.99;239.99;;25%;-25%;($80);239.99;;25%;-25%;($80)
en-GB;ESDWPX9STDEFUG;213722;OL_WP19;154.99;115.99;;25%;-25%;($39);115.99;;25%;-25%;($39)
en-US;ESDWPX9STDEF;213721;OL_WP19;249.99;184.99;;$65;-26%;($65);184.99;;$65 ;-26%;($65)
en-US;ESDWPX9STDEFUG;213722;OL_WP19;159.99;119.99;;$40;-25%;($40);119.99;;$40 ;-25%;($40)
en-US;WPOX9STDEFMBAM;5180173500;OL_WP19;249.99;184.99;;$65;-26%;($65);184.99;;$65 ;-26%;($65)
en-US;WPOX9STDEFMBUGAM;5180173600;OL_WP19;159.99;119.99;;$40;-25%;($40);119.99;;$40 ;-25%;($40)
ja-JP;ESDWPX9STDEF;213721;OL_WP19;44,021;33,015;;25%;-25%;($11,006);33015;;25%;-25%;($11,006)
ja-JP;ESDWPX9STDEFUG;213722;OL_WP19;20,365;15,273;;25%;-25%;($5,092);15273;;25%;-25%;($5,092)
