en-CA;ESDWD12PRML;180082;WinDVD Pro 12;79.99;54.99;;30%;-31%;($25)
en-CA;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;39.99;;30%;-33%;($20)
de-DE;ESDWD12PRML;180082;WinDVD Pro 12;69,99;48,99;;30 %;-30%;($21)
de-DE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;34,99;;30 %;-30%;($15)
en-AU;ESDWD12PRML;180082;WinDVD Pro 12;79;55;;30%;-30%;($24)
en-AU;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59;40;;30%;-32%;($19)
en-GB;ESDWD12PRML;180082;WinDVD Pro 12;69.99;48.99;;30%;-30%;($21)
en-GB;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;44.99;29.99;;30%;-33%;($15)
en-IE;ESDWD12PRML;180082;WinDVD Pro 12;69.99;48.99;;30%;-30%;($21)
en-IE;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49.99;34.99;;30%;-30%;($15)
en-US;ESDWD12PRML;180082;WinDVD Pro 12;79.99;54.99;;30%;-31%;($25)
en-US;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;39.99;;30%;-33%;($20)
es-MX;ESDWD12PRML;180082;WinDVD Pro 12;999;699;;30%;-30%;($300)
es-MX;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;799;559;;30%;-30%;($240)
fr-FR;ESDWD12PRML;180082;WinDVD Pro 12;69,99;48,99;;30 %;-30%;($21)
fr-FR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;49,99;34,99;;30 %;-30%;($15)
ja-JP;ESDWD12PRML;180082;WinDVD Pro 12;7,020;4,914;;30%;-30%;($2,106)
ja-JP;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;5,832;4,082;;30%;-30%;($1,750)
pt-BR;ESDWD12PRML;180082;WinDVD Pro 12;239;167;;30%;-30%;($72)
pt-BR;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;149;104;;30%;-30%;($45)
en-RW;ESDWD12PRML;180082;WinDVD Pro 12;79.99;54.99;;30%;-31%;($25)
en-RW;ESDWD12PRMLUG;180084;WinDVD Pro 12 UG;59.99;39.99;;30%;-33%;($20)
