de-DE;PK_PI13ESD;139609;PI X3;89.99;39.99;;55%
de-DE;PK_PI13UGESD;139725;PI X3;68.99;29.99;;55%
en-AU;PK_PI13ESD;139609;PI X3;159;69;;55%
en-AU;PK_PI13UGESD;139725;PI X3;99;43;;55%
en-CA;PK_PI13ESD;139609;PI X3;69.99;29.99;;CA$40
en-CA;PK_PI13UGESD;139725;PI X3;49.99;19.99;;CA$30
en-GB;PK_PI13ESD;139609;PI X3;129.99;57.99;;55%
en-GB;PK_PI13UGESD;139725;PI X3;89.99;39.99;;55%
en-IE;PK_PI13ESD;139609;PI X3;89.99;39.99;;55%
en-IE;PK_PI13UGESD;139725;PI X3;68.99;29.99;;55%
en-US;PK_PI13ESD;139609;PI X3;69.99;29.99;;$40 
en-US;PK_PI13UGESD;139725;PI X3;49.99;19.99;;$30 
fr-FR;PK_PI13ESD;139609;PI X3;89.99;39.99;;55%
fr-FR;PK_PI13UGESD;139725;PI X3;68.99;29.99;;55%
it-IT;PK_PI13ESD;139609;PI X3;89.99;39.99;;55%
it-IT;PK_PI13UGESD;139725;PI X3;68.99;29.99;;55%
ja-JP;PK_PI13ESD;139609;PI X3;8290;6218;;25%
ja-JP;PK_PI13UGESD;139725;PI X3;5921;4441;;25%
nl-NL;PK_PI13ESD;139609;PI X3;89.99;39.99;;55%
nl-NL;PK_PI13UGESD;139725;PI X3;68.99;29.99;;55%
pt-BR;PK_PI13ESD;139609;PI X3;119;53;;55%
pt-BR;PK_PI13UGESD;139725;PI X3;122;54;;55%
en-RW;PK_PI13ESD;139609;PI X3;69.99;29.99;;$40 
en-RW;PK_PI13UGESD;139725;PI X3;49.99;19.99;;$30 
